pci.bus_id, power.draw [W], utilization.gpu [%], memory.used [MiB]
00000000:0F:00.0, 53.64, 0, 0
00000000:0F:00.0, 55.40, 0, 0
00000000:0F:00.0, 55.72, 0, 0
00000000:0F:00.0, 58.07, 4, 38819
00000000:0F:00.0, 66.85, 0, 38819
00000000:0F:00.0, 57.47, 0, 38819
00000000:0F:00.0, 58.01, 0, 38819
00000000:0F:00.0, 63.84, 0, 38819
00000000:0F:00.0, 63.84, 0, 38819
00000000:0F:00.0, 64.72, 0, 38819
00000000:0F:00.0, 57.68, 0, 38819
00000000:0F:00.0, 57.68, 0, 38819
00000000:0F:00.0, 57.74, 0, 38819
00000000:0F:00.0, 65.04, 0, 38819
00000000:0F:00.0, 65.31, 0, 38819
00000000:0F:00.0, 65.38, 0, 38819
00000000:0F:00.0, 57.74, 0, 38819
00000000:0F:00.0, 57.74, 0, 38819
00000000:0F:00.0, 58.61, 0, 38819
00000000:0F:00.0, 57.74, 0, 38819
00000000:0F:00.0, 63.91, 0, 38819
00000000:0F:00.0, 57.68, 0, 38819
00000000:0F:00.0, 64.72, 0, 38819
00000000:0F:00.0, 64.72, 0, 38819
00000000:0F:00.0, 65.11, 0, 38819
00000000:0F:00.0, 63.91, 0, 38819
00000000:0F:00.0, 63.84, 0, 38819
00000000:0F:00.0, 64.72, 0, 38819
00000000:0F:00.0, 58.01, 0, 38819
00000000:0F:00.0, 63.57, 0, 38819
00000000:0F:00.0, 58.07, 4, 39155
00000000:0F:00.0, 57.68, 0, 39241
00000000:0F:00.0, 57.68, 3, 39631
00000000:0F:00.0, 167.74, 0, 39639
00000000:0F:00.0, 214.80, 65, 39667
00000000:0F:00.0, 115.74, 1, 39719
00000000:0F:00.0, 354.13, 90, 39719
00000000:0F:00.0, 335.41, 100, 39719
00000000:0F:00.0, 113.39, 0, 39719
00000000:0F:00.0, 354.72, 98, 39719
00000000:0F:00.0, 73.54, 0, 39719
00000000:0F:00.0, 240.61, 93, 39719
00000000:0F:00.0, 331.67, 87, 39719
00000000:0F:00.0, 298.01, 84, 39719
00000000:0F:00.0, 76.16, 92, 39719
00000000:0F:00.0, 363.76, 74, 39719
00000000:0F:00.0, 75.89, 78, 39719
00000000:0F:00.0, 354.22, 50, 39719
00000000:0F:00.0, 73.82, 0, 39719
00000000:0F:00.0, 60.02, 0, 39719
00000000:0F:00.0, 65.71, 0, 39719
00000000:0F:00.0, 65.98, 0, 39719
00000000:0F:00.0, 62.97, 0, 39719
00000000:0F:00.0, 58.28, 0, 39719
00000000:0F:00.0, 60.95, 0, 39719
00000000:0F:00.0, 58.01, 0, 39719
